@RELATION appl

@ATTRIBUTE Date DATE "yyyy-MM-dd"
@ATTRIBUTE Open   NUMERIC
@ATTRIBUTE High  NUMERIC
@ATTRIBUTE Low   NUMERIC
@ATTRIBUTE Close   NUMERIC
@ATTRIBUTE Volume   NUMERIC
@ATTRIBUTE AdjClose   NUMERIC

@DATA
2012-12-31,510.53,535.40,509.00,532.17,23553300,529.09
2012-12-28,510.29,514.48,508.12,509.59,12652800,506.64
2012-12-27,513.54,516.25,504.66,515.06,16254300,512.08
2012-12-26,519.00,519.46,511.12,513.00,10801300,510.03
2012-12-24,520.35,524.25,518.71,520.17,6276900,517.16
2012-12-21,512.47,519.67,510.24,519.33,21295300,516.32
2012-12-20,530.00,530.20,518.88,521.73,17203200,518.71
2012-12-19,531.47,533.70,525.50,526.31,16048900,523.26
2012-12-18,525.00,534.90,520.25,533.90,22345900,530.81
2012-12-17,508.93,520.00,501.23,518.83,27057400,515.82
2012-12-14,514.75,518.13,505.58,509.79,36056400,506.84
2012-12-13,531.15,537.64,525.80,529.69,22330700,526.62
2012-12-12,547.77,548.00,536.27,539.00,17398000,535.88
2012-12-11,539.77,549.56,537.37,541.39,21155200,538.25
2012-12-10,525.00,538.51,521.58,529.82,22517300,526.75
2012-12-07,553.40,555.20,530.00,533.25,28108600,530.16
2012-12-06,528.94,553.31,518.63,547.24,42043300,544.07
2012-12-05,568.91,569.25,538.77,538.79,37308500,535.67
2012-12-04,581.80,581.80,572.13,575.85,19895300,572.51
2012-12-03,593.65,594.59,585.50,586.19,13010000,582.79
2012-11-30,586.79,588.40,582.68,585.28,13975700,581.89
2012-11-29,590.22,594.25,585.25,589.36,18382100,585.95
2012-11-28,577.27,585.80,572.26,582.94,18602300,579.56
2012-11-27,589.55,590.42,580.10,584.78,19047500,581.39
2012-11-26,575.90,590.00,573.71,589.53,22520700,586.11
2012-11-23,567.17,572.00,562.60,571.50,9743800,568.19
2012-11-21,564.25,567.37,556.60,561.70,13321500,558.45
2012-11-20,571.91,571.95,554.58,560.91,22955500,557.66
2012-11-19,540.71,567.50,539.88,565.73,29404200,562.45
2012-11-16,525.20,530.00,505.75,527.68,45246200,524.62
2012-11-15,537.53,539.50,522.62,525.62,28211100,522.57
2012-11-14,545.50,547.45,536.18,536.88,17041800,533.77
2012-11-13,538.91,550.48,536.36,542.90,19033900,539.75
2012-11-12,554.15,554.50,538.65,542.83,18421500,539.68
2012-11-09,540.42,554.88,533.72,547.06,33211200,543.89
2012-11-08,560.63,562.23,535.29,537.75,37719500,534.63
2012-11-07,573.84,574.54,555.75,558.00,28344600,554.77
2012-11-06,590.23,590.74,580.09,582.85,13389900,576.84
2012-11-05,583.52,587.77,577.60,584.62,18897700,578.59
2012-11-02,595.89,596.95,574.75,576.80,21406200,570.85
2012-11-01,598.22,603.00,594.17,596.54,12903500,590.39
2012-10-31,594.88,601.96,587.70,595.32,18214400,589.18
2012-10-26,609.43,614.00,591.00,604.00,36372600,597.77
2012-10-25,620.00,622.00,605.55,609.54,23440200,603.25
2012-10-24,621.44,626.55,610.64,616.83,19947400,610.47
2012-10-23,631.00,633.90,611.70,613.36,25255200,607.03
2012-10-22,612.42,635.38,610.76,634.03,19526100,627.49
2012-10-19,631.05,631.77,609.62,609.84,26574500,603.55
2012-10-18,639.59,642.06,630.00,632.64,17022300,626.11
2012-10-17,648.87,652.79,644.00,644.61,13894200,637.96
2012-10-16,635.37,650.30,631.00,649.79,19634700,643.09
